,Log_Key,Level,Feature,Structure,Information,Wording
2348,org.apache.cassandra.service.StorageService.decommission3968,debug,"['<level>', 'debug', '</level>', '<message>', 'DECOMMISSIONING', '</message>']",0,0,0
1306,org.apache.cassandra.service.StorageService.getChangedRangesForLeaving2789,debug,"['<level>', 'debug', '</level>', '<message>', 'Range', '{}', 'already', 'in', 'all', 'replicas', '</message>']",1,1,1
1067,org.apache.cassandra.service.StorageService.handleStateBootreplacing2302,debug,"['<level>', 'debug', '</level>', '<message>', 'Node', '{}', 'is', 'replacing', '{},', 'tokens', '{}', '</message>']",1,1,1
1307,org.apache.cassandra.service.StorageService.handleStateBootstrap2251,debug,"['<level>', 'debug', '</level>', '<message>', 'Node', '{}', 'state', 'bootstrapping,', 'token', '{}', '</message>']",1,1,1
1309,org.apache.cassandra.service.StorageService.handleStateLeaving2468,debug,"['<level>', 'debug', '</level>', '<message>', 'Node', '{}', 'state', 'leaving,', 'tokens', '{}', '</message>']",1,1,1
1068,org.apache.cassandra.service.StorageService.handleStateRemoving2561,debug,"['<level>', 'debug', '</level>', '<message>', 'Tokens', '{}', 'removed', 'manually', '(endpoint', 'was', '{})', '</message>']",1,1,1
1291,org.apache.cassandra.service.StorageService.joinTokenRing894,debug,"['<level>', 'debug', '</level>', '<message>', 'Bootstrap', 'variables:', '{}', '{}', '{}', '{}', '</message>']",0,1,1
1249,org.apache.cassandra.service.StorageService.joinTokenRing920,debug,"['<level>', 'debug', '</level>', '<message>', '...', 'got', 'ring', '+', 'schema', 'info', '</message>']",0,0,0
1257,org.apache.cassandra.service.StorageService.move4179,debug,"['<level>', 'debug', '</level>', '<message>', 'Successfully', 'moved', 'to', 'new', 'token', '{}', '</message>']",1,1,1
734,org.apache.cassandra.service.StorageService.onChange2028,debug,"['<level>', 'debug', '</level>', '<message>', 'Ignoring', 'state', 'change', 'for', 'dead', 'or', 'unknown', 'endpoint:', '{}', '</message>']",1,1,1
738,org.apache.cassandra.service.StorageService.streamRanges4983,debug,"['<level>', 'debug', '</level>', '<message>', 'Skipping', 'transferred', 'range', '{}', 'of', 'keyspace', '{},', 'endpoint', '{}', '</message>']",1,1,1
1606,org.apache.cassandra.service.StorageService.unbootstrap4054,debug,"['<level>', 'debug', '</level>', '<message>', 'waiting', 'for', 'batch', 'log', 'processing.', '</message>']",1,1,0
1268,org.apache.cassandra.streaming.StreamCoordinator.connectNext142,debug,"['<level>', 'debug', '</level>', '<message>', 'Connecting', 'next', 'session', '{}', 'with', '{}.', '</message>']",1,1,1
150,org.apache.cassandra.streaming.StreamReader.read105,debug,"['<level>', 'debug', '</level>', '<message>', '[Stream', '#{}]', 'Start', 'receiving', 'file', '#{}', 'from', '{},', 'repairedAt', '=', '{},', 'size', '=', '{},', 'ks', '=', ""'{}',"", 'table', '=', ""'{}'."", '</message>']",1,1,1
1269,org.apache.cassandra.streaming.StreamSession.init252,debug,"['<level>', 'debug', '</level>', '<message>', 'Peer', '{}', 'does', 'not', 'support', 'keep-alive.', '</message>']",1,1,1
1060,org.apache.cassandra.Util.flakyTest628,debug,"['<level>', 'debug', '</level>', '<message>', 'Test', 'failed', 'again,', 'total', 'num', 'failures:', '{}', '</message>']",1,1,0
1888,org.apache.cassandra.utils.MerkleTree.difference260,debug,"['<level>', 'debug', '</level>', '<message>', 'Range', '{}', 'fully', 'inconsistent', '</message>']",1,1,1
2275,org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.doAuthenticate142,debug,"['<level>', 'debug', '</level>', '<message>', 'Login', 'failed', '</message>']",1,1,1
1017,org.apache.flink.api.common.state.StateDescriptor.initializeSerializerUnlessSet307,debug,"['<level>', 'debug', '</level>', '<message>', 'Someone', 'else', 'beat', 'us', 'at', 'initializing', 'the', 'serializer.', '</message>']",1,0,0
2675,org.apache.flink.client.cli.CliFrontend.runProgram264,debug,"['<level>', 'debug', '</level>', '<message>', '{}', '</message>']",0,0,0
1521,org.apache.flink.client.cli.CliFrontend.runProgram267,debug,"['<level>', 'debug', '</level>', '<message>', 'User', 'parallelism', 'is', 'set', 'to', '{}', '</message>']",1,1,1
2161,org.apache.flink.formats.parquet.utils.ParquetRecordReader.readNextRecord259,debug,"['<level>', 'debug', '</level>', '<message>', 'read', 'value:', '{}', '</message>']",1,0,0
451,org.apache.flink.fs.openstackhadoop.SwiftFileSystemFactory.create65,debug,"['<level>', 'debug', '</level>', '<message>', 'Creating', 'swift', 'file', 'system', '(backed', 'by', 'a', 'Hadoop', 'native', 'swift', 'file', 'system)', '</message>']",1,1,1
2159,org.apache.flink.mesos.util.MesosResourceAllocation.takeScalar88,debug,"['<level>', 'debug', '</level>', '<message>', 'Allocating', '{}', '{}', '</message>']",0,0,1
283,org.apache.flink.metrics.prometheus.AbstractPrometheusReporter.gaugeFrom239,debug,"['<level>', 'debug', '</level>', '<message>', 'Invalid', 'type', 'for', 'Gauge', '{}:', '{},', 'only', 'number', 'types', 'and', 'booleans', 'are', 'supported', 'by', 'this', 'reporter.', '</message>']",1,1,1
1205,org.apache.flink.queryablestate.network.AbstractServerBase.attemptToBind212,debug,"['<level>', 'debug', '</level>', '<message>', 'Attempting', 'to', 'start', '{}', 'on', 'port', '{}.', '</message>']",1,1,1
995,org.apache.flink.queryablestate.network.AbstractServerHandler.operationComplete303,debug,"['<level>', 'debug', '</level>', '<message>', 'Request', '{}', 'was', 'successfully', 'answered', 'after', '{}', 'ms.', '</message>']",1,1,1
1016,org.apache.flink.runtime.blob.BlobServer.close315,debug,"['<level>', 'debug', '</level>', '<message>', 'Error', 'while', 'waiting', 'for', 'this', 'thread', 'to', 'die.', '</message>']",1,1,0
284,org.apache.flink.runtime.blob.BlobServer.moveTempFileToStore717,debug,"['<level>', 'debug', '</level>', '<message>', 'Trying', 'to', 'find', 'a', 'unique', 'key', 'for', 'BLOB', 'of', 'job', '{}', '(retry', '{},', 'last', 'tried', '{})', '</message>']",1,1,1
2151,org.apache.flink.runtime.blob.BlobServerConnection.run126,debug,"['<level>', 'debug', '</level>', '<message>', 'Socket', 'connection', 'closed', '</message>']",1,1,1
1206,org.apache.flink.runtime.blob.BlobUtils.closeSilently388,debug,"['<level>', 'debug', '</level>', '<message>', 'Exception', 'while', 'closing', 'BLOB', 'server', 'connection', 'socket.', '</message>']",1,1,1
170,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.receiveDeclineMessage732,debug,"['<level>', 'debug', '</level>', '<message>', 'Received', 'another', 'decline', 'message', 'for', 'now', 'expired', 'checkpoint', 'attempt', '{}', 'from', 'task', '{}', 'of', 'job', '{}', 'at', '{}', ':', '{}', '</message>']",1,1,1
171,org.apache.flink.runtime.checkpoint.CheckpointCoordinator.receiveDeclineMessage736,debug,"['<level>', 'debug', '</level>', '<message>', 'Received', 'decline', 'message', 'for', 'unknown', '(too', 'old?)', 'checkpoint', 'attempt', '{}', 'from', 'task', '{}', 'of', 'job', '{}', 'at', '{}', ':', '{}', '</message>']",1,1,1
1213,org.apache.flink.runtime.checkpoint.hooks.MasterHooks.restoreMasterHooks252,debug,"['<level>', 'debug', '</level>', '<message>', 'Found', 'state', 'to', 'restore', 'for', 'hook', ""'{}'"", '</message>']",1,1,1
289,org.apache.flink.runtime.executiongraph.ExecutionGraph.attachJobGraph891,debug,"['<level>', 'debug', '</level>', '<message>', 'Attaching', '{}', 'topologically', 'sorted', 'vertices', 'to', 'existing', 'job', 'graph', 'with', '{}', 'vertices', 'and', '{}', 'intermediate', 'results.', '</message>']",1,1,1
404,org.apache.flink.runtime.executiongraph.ExecutionGraph.tryRestartOrFail1444,debug,"['<level>', 'debug', '</level>', '<message>', 'Try', 'to', 'restart', 'or', 'fail', 'the', 'job', '{}', '({})', 'if', 'no', 'longer', 'possible.', '</message>']",1,1,1
1220,org.apache.flink.runtime.executiongraph.ExecutionGraph.updateAccumulators1693,debug,"['<level>', 'debug', '</level>', '<message>', 'Received', 'accumulator', 'result', 'for', 'unknown', 'execution', '{}.', '</message>']",1,1,1
1221,org.apache.flink.runtime.executiongraph.failover.FailoverRegion.FailoverRegion86,debug,"['<level>', 'debug', '</level>', '<message>', 'Created', 'failover', 'region', '{}', 'with', 'vertices:', '{}', '</message>']",1,1,1
1222,org.apache.flink.runtime.executiongraph.failover.flip1.RestartPipelinedRegionStrategy.buildFailoverRegions102,debug,"['<level>', 'debug', '</level>', '<message>', 'Creating', 'a', 'failover', 'region', 'with', '{}', 'vertices.', '</message>']",1,1,1
706,org.apache.flink.runtime.fs.hdfs.HadoopFsFactory.create110,debug,"['<level>', 'debug', '</level>', '<message>', 'Instantiating', 'for', 'file', 'system', 'scheme', '{}', 'Hadoop', 'File', 'System', '{}', '</message>']",1,1,1
2334,org.apache.flink.runtime.io.network.TaskEventDispatcher.registerPartition59,debug,"['<level>', 'debug', '</level>', '<message>', 'registering', '{}', '</message>']",1,1,0
2335,org.apache.flink.runtime.io.network.TaskEventDispatcher.unregisterPartition78,debug,"['<level>', 'debug', '</level>', '<message>', 'unregistering', '{}', '</message>']",1,1,0
1572,org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStore.putJobGraph215,debug,"['<level>', 'debug', '</level>', '<message>', 'Adding', 'job', 'graph', '{}', 'to', '{}{}.', '</message>']",0,1,1
1571,org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStore.recoverJobGraph163,debug,"['<level>', 'debug', '</level>', '<message>', 'Recovering', 'job', 'graph', '{}', 'from', '{}{}.', '</message>']",0,1,1
1015,org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStore.releaseJobGraph281,debug,"['<level>', 'debug', '</level>', '<message>', 'Releasing', 'locks', 'of', 'job', 'graph', '{}', 'from', '{}{}.', '</message>']",0,1,1
1573,org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStore.removeJobGraph261,debug,"['<level>', 'debug', '</level>', '<message>', 'Removing', 'job', 'graph', '{}', 'from', '{}{}.', '</message>']",0,1,1
1234,org.apache.flink.runtime.jobmaster.JobMaster.suspendExecution760,debug,"['<level>', 'debug', '</level>', '<message>', 'Job', 'has', 'already', 'been', 'suspended', 'or', 'shutdown.', '</message>']",1,1,1
368,org.apache.flink.runtime.jobmaster.slotpool.SchedulerImpl.releaseSharedSlot593,debug,"['<level>', 'debug', '</level>', '<message>', 'Could', 'not', 'find', 'slot', '[{}]', 'in', 'slot', 'sharing', 'group', '{}.', 'Ignoring', 'release', 'slot', 'request.', '</message>']",1,1,1
69,org.apache.flink.runtime.jobmaster.slotpool.SlotSharingManager.checkOversubscriptionAndReleaseChildren607,debug,"['<level>', 'debug', '</level>', '<message>', 'Not', 'all', 'requests', 'are', 'fulfilled', 'due', 'to', 'over-allocated,', 'number', 'of', 'requests', 'is', '{},', 'number', 'of', 'evicted', 'requests', 'is', '{},', 'underlying', 'allocated', 'is', '{},', 'fulfilled', 'is', '{},', 'evicted', 'requests', 'is', '{},', '</message>']",1,1,1
449,org.apache.flink.runtime.leaderelection.ZooKeeperLeaderElectionService.isLeader230,debug,"['<level>', 'debug', '</level>', '<message>', 'Ignoring', 'the', 'grant', 'leadership', 'notification', 'since', 'the', 'service', 'has', 'already', 'been', 'stopped.', '</message>']",1,1,1
1537,org.apache.flink.runtime.leaderelection.ZooKeeperLeaderElectionService.writeLeaderInformation331,debug,"['<level>', 'debug', '</level>', '<message>', 'Write', 'leader', 'information:', 'Leader={},', 'session', 'ID={}.', '</message>']",1,1,1
1538,org.apache.flink.runtime.leaderretrieval.ZooKeeperLeaderRetrievalService.nodeChanged169,debug,"['<level>', 'debug', '</level>', '<message>', 'New', 'leader', 'information:', 'Leader={},', 'session', 'ID={}.', '</message>']",1,1,1
83,org.apache.flink.runtime.memory.MemoryManager.MemoryManager181,debug,"['<level>', 'debug', '</level>', '<message>', 'Initialized', 'MemoryManager', 'with', 'total', 'memory', 'size', '{},', 'number', 'of', 'slots', '{},', 'page', 'size', '{},', 'memory', 'type', '{},', 'pre', 'allocate', 'memory', '{}', 'and', 'number', 'of', 'non', 'allocated', 'pages', '{}.', '</message>']",1,1,1
405,org.apache.flink.runtime.net.ConnectionUtils.findAddressUsingStrategy261,debug,"['<level>', 'debug', '</level>', '<message>', 'Target', 'address', '{}', 'and', 'local', 'address', '{}', 'share', 'prefix', '-', 'trying', 'to', 'connect.', '</message>']",1,1,1
450,org.apache.flink.runtime.net.ConnectionUtils.findAddressUsingStrategy272,debug,"['<level>', 'debug', '</level>', '<message>', 'Trying', 'to', 'connect', 'to', '{}', 'from', 'local', 'address', '{}', 'with', 'timeout', '{}', '</message>']",1,1,1
711,org.apache.flink.runtime.net.ConnectionUtils.findConnectingAddress150,debug,"['<level>', 'debug', '</level>', '<message>', 'Could', 'not', 'connect.', 'Waiting', 'for', '{}', 'msecs', 'before', 'next', 'attempt', '</message>']",1,1,1
1845,org.apache.flink.runtime.operators.BatchTask.invoke245,debug,"['<level>', 'debug', '</level>', '<message>', 'Start', 'registering', 'input', 'and', 'output.', '</message>']",1,1,1
1547,org.apache.flink.runtime.operators.DataSinkTask.invoke143,debug,"['<level>', 'debug', '</level>', '<message>', 'Rich', 'Sink', 'detected.', 'Initializing', 'runtime', 'context.', '</message>']",1,1,1
1542,org.apache.flink.runtime.operators.DataSourceTask.invoke142,debug,"['<level>', 'debug', '</level>', '<message>', 'Rich', 'Source', 'detected.', 'Initializing', 'runtime', 'context.', '</message>']",1,1,1
1543,org.apache.flink.runtime.operators.DataSourceTask.invoke144,debug,"['<level>', 'debug', '</level>', '<message>', 'Rich', 'Source', 'detected.', 'Opening', 'the', 'InputFormat.', '</message>']",1,1,1
1544,org.apache.flink.runtime.operators.DataSourceTask.invoke175,debug,"['<level>', 'debug', '</level>', '<message>', 'Starting', 'to', 'read', 'input', 'from', 'split', '</message>']",1,1,1
1545,org.apache.flink.runtime.operators.DataSourceTask.invoke243,debug,"['<level>', 'debug', '</level>', '<message>', 'Rich', 'Source', 'detected.', 'Closing', 'the', 'InputFormat.', '</message>']",1,1,1
1546,org.apache.flink.runtime.operators.GroupReduceDriver.run112,debug,"['<level>', 'debug', '</level>', '<message>', 'GroupReducer', 'preprocessing', 'done.', 'Running', 'GroupReducer', 'code.', '</message>']",1,1,1
1548,org.apache.flink.runtime.operators.hash.CompactingHashTable.close283,debug,"['<level>', 'debug', '</level>', '<message>', 'Closing', 'hash', 'table', 'and', 'releasing', 'resources.', '</message>']",1,1,1
406,org.apache.flink.runtime.operators.hash.MutableHashTable.initBloomFilter826,debug,"['<level>', 'debug', '</level>', '<message>', 'Create', 'BloomFilter', 'with', 'average', 'input', 'entries', 'per', 'bucket[%d],', 'bytes', 'size[%d],', 'false', 'positive', 'probability[%f].', '</message>']",1,1,1
339,org.apache.flink.runtime.operators.sort.UnilateralSortMerger.go980,debug,"['<level>', 'debug', '</level>', '<message>', 'Large', 'record', 'did', 'not', 'fit', 'into', 'a', 'fresh', 'sort', 'buffer.', 'Putting', 'into', 'large', 'record', 'store.', '</message>']",1,1,1
2671,org.apache.flink.runtime.query.QueryableStateUtils.createKvStateClientProxy82,debug,"['<level>', 'debug', '</level>', '<message>', 'Cause:', '</message>']",1,0,1
1556,org.apache.flink.runtime.resourcemanager.JobLeaderIdService.notifyLeaderAddress265,debug,"['<level>', 'debug', '</level>', '<message>', 'Found', 'a', 'new', 'job', 'leader', '{}@{}.', '</message>']",1,1,1
340,org.apache.flink.runtime.resourcemanager.ResourceManager.jobLeaderLostLeadership838,debug,"['<level>', 'debug', '</level>', '<message>', 'Discarding', 'job', 'leader', 'lost', 'leadership,', 'because', 'a', 'new', 'job', 'leader', 'was', 'found', 'for', 'job', '{}.', '</message>']",1,1,1
1552,org.apache.flink.runtime.resourcemanager.ResourceManager.registerJobMasterInternal633,debug,"['<level>', 'debug', '</level>', '<message>', 'Job', 'manager', '{}@{}', 'was', 'already', 'registered.', '</message>']",1,1,1
1553,org.apache.flink.runtime.resourcemanager.ResourceManager.registerTaskExecutorInternal695,debug,"['<level>', 'debug', '</level>', '<message>', 'Replacing', 'old', 'registration', 'of', 'TaskExecutor', '{}.', '</message>']",1,1,1
1555,org.apache.flink.runtime.resourcemanager.ResourceManager.releaseResource860,debug,"['<level>', 'debug', '</level>', '<message>', 'Worker', '{}', 'could', 'not', 'be', 'stopped.', '</message>']",1,1,1
172,org.apache.flink.runtime.resourcemanager.slotmanager.SlotManagerImpl.freeSlot465,debug,"['<level>', 'debug', '</level>', '<message>', 'Received', 'request', 'to', 'free', 'slot', '{}', 'with', 'expected', 'allocation', 'id', '{},', 'but', 'actual', 'allocation', 'id', '{}', 'differs.', 'Ignoring', 'the', 'request.', '</message>']",1,1,1
1558,org.apache.flink.runtime.resourcemanager.slotmanager.SlotManagerImpl.freeSlot469,debug,"['<level>', 'debug', '</level>', '<message>', 'Slot', '{}', 'has', 'not', 'been', 'allocated.', '</message>']",1,1,1
224,org.apache.flink.runtime.resourcemanager.slotmanager.SlotManagerImpl.handleFailedSlotRequest1027,debug,"['<level>', 'debug', '</level>', '<message>', 'There', 'was', 'not', 'pending', 'slot', 'request', 'with', 'allocation', 'id', '{}.', 'Probably', 'the', 'request', 'has', 'been', 'fulfilled', 'or', 'cancelled.', '</message>']",1,1,1
1557,org.apache.flink.runtime.resourcemanager.slotmanager.SlotManagerImpl.unregisterTaskManager395,debug,"['<level>', 'debug', '</level>', '<message>', 'Unregister', 'TaskManager', '{}', 'from', 'the', 'SlotManager.', '</message>']",1,1,1
1565,org.apache.flink.runtime.rest.handler.legacy.backpressure.BackPressureStatsTrackerImpl.apply286,debug,"['<level>', 'debug', '</level>', '<message>', 'Failed', 'to', 'gather', 'stack', 'trace', 'sample.', '</message>']",1,1,1
1564,org.apache.flink.runtime.rest.handler.legacy.backpressure.BackPressureStatsTrackerImpl.triggerStackTraceSampleInternal191,debug,"['<level>', 'debug', '</level>', '<message>', 'Triggering', 'stack', 'trace', 'sample', 'for', 'tasks:', '</message>']",1,1,1
853,org.apache.flink.runtime.rest.handler.legacy.backpressure.StackTraceSampleCoordinator.collectStackTraces271,debug,"['<level>', 'debug', '</level>', '<message>', 'Received', 'late', 'stack', 'trace', 'sample', '{}', 'of', 'task', '{}', '</message>']",1,1,1
1567,org.apache.flink.runtime.rest.handler.legacy.files.StaticFileServerHandler.respondToRequest171,debug,"['<level>', 'debug', '</level>', '<message>', 'Loading', 'missing', 'file', 'from', 'classloader:', '{}', '</message>']",1,1,1
1568,org.apache.flink.runtime.rest.handler.legacy.files.StaticFileServerHandler.respondToRequest229,debug,"['<level>', 'debug', '</level>', '<message>', 'Responding', ""'NOT"", ""MODIFIED'"", 'for', 'file', ""'"", '</message>']",1,1,1
1569,org.apache.flink.runtime.rest.handler.taskmanager.AbstractTaskManagerFileHandler.removeBlob190,debug,"['<level>', 'debug', '</level>', '<message>', 'Remove', 'cached', 'file', 'for', 'TaskExecutor', '{}.', '</message>']",1,1,1
1247,org.apache.flink.runtime.rest.RestClient.sendRequest251,debug,"['<level>', 'debug', '</level>', '<message>', 'Sending', 'request', 'of', 'class', '{}', 'to', '{}:{}{}', '</message>']",0,1,1
341,org.apache.flink.runtime.rpc.akka.FencedAkkaRpcActor.handleRpcMessage91,debug,"['<level>', 'debug', '</level>', '<message>', 'Unknown', 'message', 'type:', 'Ignoring', 'message', '{}', 'because', 'it', 'is', 'neither', 'of', 'type', '{}', 'nor', '{}.', '</message>']",1,1,1
713,org.apache.flink.runtime.scheduler.LegacyScheduler.notifyKvStateRegistered427,debug,"['<level>', 'debug', '</level>', '<message>', 'Key', 'value', 'state', 'registered', 'for', 'job', '{}', 'under', 'name', '{}.', '</message>']",1,1,1
714,org.apache.flink.runtime.scheduler.LegacyScheduler.notifyKvStateUnregistered448,debug,"['<level>', 'debug', '</level>', '<message>', 'Key', 'value', 'state', 'unregistered', 'for', 'job', '{}', 'under', 'name', '{}.', '</message>']",1,1,1
225,org.apache.flink.runtime.state.StateUtil.discardStateFuture82,debug,"['<level>', 'debug', '</level>', '<message>', 'Cancelled', 'execution', 'of', 'snapshot', 'future', 'runnable.', 'Cancellation', 'produced', 'the', 'following', 'exception,', 'which', 'is', 'expected', 'an', 'can', 'be', 'ignored.', '</message>']",1,1,1
226,org.apache.flink.runtime.state.TaskExecutorLocalStateStoresManager.localStateStoreForSubtask162,debug,"['<level>', 'debug', '</level>', '<message>', 'Registered', 'new', 'local', 'state', 'store', 'with', 'configuration', '{}', 'for', '{}', '-', '{}', '-', '{}', 'under', 'allocation', 'id', '{}.', '</message>']",1,1,1
295,org.apache.flink.runtime.state.TaskLocalStateStoreImpl.confirmCheckpoint218,debug,"['<level>', 'debug', '</level>', '<message>', 'Received', 'confirmation', 'for', 'checkpoint', '{}', 'in', 'subtask', '({}', '-', '{}', '-', '{}).', 'Starting', 'to', 'prune', 'history.', '</message>']",1,1,1
296,org.apache.flink.runtime.state.TaskLocalStateStoreImpl.discardLocalStateForCheckpoint290,debug,"['<level>', 'debug', '</level>', '<message>', 'Discarding', 'local', 'task', 'state', 'snapshot', '{}', 'of', 'checkpoint', '{}', 'for', 'subtask', '({}', '-', '{}', '-', '{}).', '</message>']",1,1,1
294,org.apache.flink.runtime.state.TaskLocalStateStoreImpl.retrieveLocalState202,debug,"['<level>', 'debug', '</level>', '<message>', 'Did', 'not', 'find', 'registered', 'local', 'state', 'for', 'checkpoint', '{}', 'in', 'subtask', '({}', '-', '{}', '-', '{})', '</message>']",1,1,1
2682,org.apache.flink.runtime.taskexecutor.TaskExecutor.cancelTask693,debug,"['<level>', 'debug', '</level>', '<message>', ' ', '</message>']",0,0,0
2684,org.apache.flink.runtime.taskexecutor.TaskExecutor.confirmCheckpoint817,debug,"['<level>', 'debug', '</level>', '<message>', ' ', '</message>']",0,0,0
1001,org.apache.flink.runtime.taskexecutor.TaskExecutor.freeSlotInternal1481,debug,"['<level>', 'debug', '</level>', '<message>', 'Free', 'slot', 'with', 'allocation', 'id', '{}', 'because:', '{}', '</message>']",1,1,1
2683,org.apache.flink.runtime.taskexecutor.TaskExecutor.triggerCheckpoint796,debug,"['<level>', 'debug', '</level>', '<message>', ' ', '</message>']",0,0,0
1006,org.apache.flink.runtime.webmonitor.history.HistoryServerStaticFileServerHandler.respondWithFile161,debug,"['<level>', 'debug', '</level>', '<message>', 'Unable', 'to', 'load', 'requested', 'file', '{}', 'from', 'classloader', '</message>']",1,1,1
2674,org.apache.flink.streaming.api.graph.StreamGraphGenerator.transform233,debug,"['<level>', 'debug', '</level>', '<message>', 'Transforming', '</message>']",0,0,1
1009,org.apache.flink.streaming.api.operators.async.Emitter.run82,debug,"['<level>', 'debug', '</level>', '<message>', 'Wait', 'for', 'next', 'completed', 'async', 'stream', 'element', 'result.', '</message>']",1,1,1
1856,org.apache.flink.streaming.api.operators.BackendRestorerProcedure.createAndRestore109,debug,"['<level>', 'debug', '</level>', '<message>', 'Creating', '{}', 'with', 'empty', 'state.', '</message>']",1,1,1
