System,ID,Callsite,Line,Level,Log,Structural,Information,Wording
Cassandra,238,org.apache.cassandra.db.compaction.CompactionManager.submitBackground,169,trace,java.lang.String(name)Background compaction is still running for {}.{} ({} remaining). Skipping-java.lang.String(name)cfs.keyspace.getName()-java.lang.String(name)cfs.name-int(name)count,o,o,o
Cassandra,283,org.apache.cassandra.db.compaction.CompactionTask.checkAvailableDiskSpace,350,warn,java.lang.String(name)msg,x,x,x
Cassandra,277,org.apache.cassandra.db.compaction.LeveledCompactionStrategy.getNextBackgroundTask,127,trace,java.lang.String(name)No compaction necessary for {}-org.apache.cassandra.db.compaction.LeveledCompactionStrategy(name)this,o,o,o
Cassandra,280,org.apache.cassandra.db.compaction.LeveledCompactionStrategy.getScanners,285,warn,"java.lang.String(name)Live sstable {} from level {} is not on corresponding level in the leveled manifest. This is not a problem per se, but may indicate an orphaned sstable due to a failed compaction not cleaned up properly.-java.lang.String(name)sstable.getFilename()-int(name)level",o,o,o
Cassandra,279,org.apache.cassandra.db.compaction.LeveledCompactionStrategy.getUserDefinedTask,187,trace,java.lang.String(name)Unable to mark {} for compaction; probably a background compaction got to it first. You can disable background compactions temporarily if this is a problem-java.util.Collection<SSTableReader>(name)sstables,o,o,o
Cassandra,225,org.apache.cassandra.db.compaction.LeveledManifest.getCompactionCandidates,376,trace,java.lang.String(name)Compaction score for level {} is {}-int(name)i-double(name)score,o,o,o
Cassandra,223,org.apache.cassandra.db.compaction.LeveledManifest.repairOverlappingSSTables,234,warn,"java.lang.String(name)At level {}, {} [{}, {}] overlaps {} [{}, {}]. This could be caused by a bug in Cassandra 1.1.0 .. 1.1.3 or due to the fact that you have dropped sstables from another node into the data directory. Sending back to L0. If you didn't drop in sstables, and have not yet run scrub, you should do so since you may also have rows out-of-order within an sstable-int(name)level-org.apache.cassandra.io.sstable.format.SSTableReader(name)previous-org.apache.cassandra.db.DecoratedKey(name)previous.first-org.apache.cassandra.db.DecoratedKey(name)previous.last-org.apache.cassandra.io.sstable.format.SSTableReader(name)current-org.apache.cassandra.db.DecoratedKey(name)current.first-org.apache.cassandra.db.DecoratedKey(name)current.last",x,o,o
Cassandra,234,org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy.getNextBackgroundTask,192,warn,"java.lang.String(name)Could not acquire references for compacting SSTables {} which is not a problem per se,unless it happens frequently, in which case it must be reported. Will retry later.-java.util.List<SSTableReader>(name)hottestBucket",o,o,o
Cassandra,308,org.apache.cassandra.db.compaction.writers.CompactionAwareWriter.getWriteDirectory,226,trace,java.lang.String(name)putting compaction results in {}-java.io.File(name)directory,o,o,x
Cassandra,143,org.apache.cassandra.db.Directories.Directories,245,error,java.lang.String(name)Failed to create {} directory-java.io.File(name)dir,o,o,o
Cassandra,140,org.apache.cassandra.db.Directories.verifyFullPermissions,120,error,java.lang.String(name)Doesn't have execute permissions for {} directory-java.lang.String(name)dataDir,o,o,o
Cassandra,141,org.apache.cassandra.db.Directories.verifyFullPermissions,125,error,java.lang.String(name)Doesn't have read permissions for {} directory-java.lang.String(name)dataDir,o,o,o
Cassandra,142,org.apache.cassandra.db.Directories.verifyFullPermissions,130,error,java.lang.String(name)Doesn't have write permissions for {} directory-java.lang.String(name)dataDir,o,o,o
Cassandra,135,org.apache.cassandra.db.Keyspace.applyInternal,527,trace,java.lang.String(name)Could not acquire lock for {} and table {}-java.lang.String(name)ByteBufferUtil.bytesToHex(mutation.key().getKey())-java.lang.String(name)columnFamilyStores.get(cfid).name,o,o,o
Cassandra,138,org.apache.cassandra.db.Keyspace.getIndexColumnFamilyStores,718,info,java.lang.String(name)adding secondary index table {} to operation-java.lang.String(name)indexCfs.metadata.cfName,o,o,x
Cassandra,319,org.apache.cassandra.db.lifecycle.LogReplicaSet.readRecords,130,error,"java.lang.String(name)Mismatched line in file {}: got '{}' expected '{}', giving up-java.lang.String(name)entry.getKey().getFileName()-java.lang.String(name)currentLine-java.lang.String(name)firstLine",o,o,o
Cassandra,321,org.apache.cassandra.db.lifecycle.LogReplicaSet.readRecords,154,error,"java.lang.String(name)Mismatched line in file {}: got '{}' expected '{}', giving up-java.lang.String(name)entry.getKey().getFileName()-java.lang.String(name)currentLine-java.lang.String(name)firstLine",o,o,o
Cassandra,337,org.apache.cassandra.db.lifecycle.LogTransaction.complete,397,error,java.lang.String(name)Failed to complete file transaction id {}-java.util.UUID(name)id()-java.lang.Throwable(name)t,o,o,o
Cassandra,338,org.apache.cassandra.db.lifecycle.LogTransaction.removeUnfinishedLeftovers,483,error,java.lang.String(name)Failed to remove unfinished transaction leftovers for transaction log {}-java.lang.String(name)txn.toString(true)-java.lang.Throwable(name)failure,o,o,o
Cassandra,331,org.apache.cassandra.db.lifecycle.LogTransaction.run,272,error,"java.lang.String(name)Transaction log {} indicates txn was not completed, trying to abort it now-org.apache.cassandra.db.lifecycle.LogFile(name)data",o,o,x
Cassandra,343,org.apache.cassandra.db.marshal.DateType.isCompatibleWith,94,warn,"java.lang.String(name)Changing from TimestampType to DateType is allowed, but be wary that they sort differently for pre-unix-epoch timestamps (negative timestamp values) and thus this change will corrupt your data if you have such negative timestamp. There is no reason to switch from DateType to TimestampType except if you were using DateType in the first place and switched to TimestampType by mistake.",o,x,o
Cassandra,341,org.apache.cassandra.db.marshal.DynamicCompositeType.validateComparator,207,error,java.lang.String(name)Failed with [{}] when decoding the byte buffer in ByteBufferUtil.string()-java.lang.String(name)ce.toString(),o,o,o
Cassandra,342,org.apache.cassandra.db.marshal.DynamicCompositeType.validateComparator,214,error,"java.lang.String(name)Failed to parse value string ""{}"" with exception: [{}]-java.lang.String(name)valueStr-java.lang.String(name)e.toString()",o,o,o
Cassandra,340,org.apache.cassandra.db.marshal.TimestampType.isCompatibleWith,105,warn,"java.lang.String(name)Changing from DateType to TimestampType is allowed, but be wary that they sort differently for pre-unix-epoch timestamps (negative timestamp values) and thus this change will corrupt your data if you have such negative timestamp. So unless you know that you don't have *any* pre-unix-epoch timestamp you should change back to DateType",o,x,o
Cassandra,346,org.apache.cassandra.db.monitoring.MonitoringTask.logFailedOperations,152,debug,java.lang.String(name){} operations timed out in the last {} msecs:{}{}-long(name)failedOperations.num()-long(name)elapsed-java.lang.String(name)LINE_SEPARATOR-java.lang.String(name)failedOperations.getLogMessage(),x,o,o
Cassandra,345,org.apache.cassandra.db.monitoring.MonitoringTask.logFailedOperations,149,warn,"java.lang.String(name)Some operations timed out, details available at debug level (debug.log)",o,o,o
Cassandra,348,org.apache.cassandra.db.monitoring.MonitoringTask.logSlowOperations,173,debug,java.lang.String(name){} operations were slow in the last {} msecs:{}{}-long(name)slowOperations.num()-long(name)elapsed-java.lang.String(name)LINE_SEPARATOR-java.lang.String(name)slowOperations.getLogMessage(),x,o,o
Cassandra,347,org.apache.cassandra.db.monitoring.MonitoringTask.logSlowOperations,170,info,"java.lang.String(name)Some operations were slow, details available at debug level (debug.log)",o,o,o
Cassandra,131,org.apache.cassandra.db.ReadCommand.deserializeIndexMetadata,776,info,"java.lang.String(name)Couldn't find a defined index on {}.{} with the id {}. If an index was just created, this is likely due to the schema not being fully propagated. Local read will proceed without using the index. Please wait for schema agreement after index creation.-java.lang.String(name)cfm.ksName-java.lang.String(name)cfm.cfName-java.util.UUID(name)e.indexId",o,o,o
Cassandra,350,org.apache.cassandra.db.rows.RowIterators.loggingIterator,110,info,java.lang.String(name)[{}] {}-java.lang.String(name)id-java.lang.String(name)row.toString(metadata),x,x,x
Cassandra,351,org.apache.cassandra.db.rows.RowIterators.loggingIterator,117,info,java.lang.String(name)[{}] {}-java.lang.String(name)id-java.lang.String(name)row.toString(metadata),x,x,x
Cassandra,354,org.apache.cassandra.db.rows.UnfilteredRowIterators.loggingIterator,368,info,"java.lang.String(name)[{}] {}-java.lang.String(name)id-java.lang.String(name)row.toString(metadata,fullDetails)",x,x,x
Cassandra,132,org.apache.cassandra.db.TruncateVerbHandler.doVerb,44,error,java.lang.String(name)Error in truncation-java.lang.Exception(name)e,o,x,o
Cassandra,356,org.apache.cassandra.db.view.View.getReadQuery,199,trace,java.lang.String(name)View query: {}-org.apache.cassandra.cql3.statements.RawStatement(name)rawSelect,o,o,o
Cassandra,369,org.apache.cassandra.db.view.ViewBuilder.updateDistributed,208,warn,"java.lang.String(name)Failed to updated the distributed status of view, sleeping 5 minutes before retrying-java.lang.Exception(name)e",o,o,o
Cassandra,359,org.apache.cassandra.db.view.ViewManager.addView,155,warn,java.lang.String(name)Not adding view {} because the base table {} is unknown-java.lang.String(name)definition.viewName-java.util.UUID(name)definition.baseTableId,o,o,o
Cassandra,372,org.apache.cassandra.dht.BootStrapper.getBootstrapTokens,180,warn,java.lang.String(name)Picking random token for a single vnode. You should probably add more vnodes and/or use the automatic token allocation mechanism.,o,o,o
Cassandra,378,org.apache.cassandra.dht.RangeStreamer.fetchAsync,384,info,java.lang.String(name)Some ranges of {} are already available. Skipping streaming those ranges.-java.util.Set<Range<Token>>(name)availableRanges,o,o,o
Cassandra,377,org.apache.cassandra.dht.RangeStreamer.getRangeFetchMap,347,warn,java.lang.String(name)Unable to find sufficient sources for streaming range {} in keyspace {} with RF=1. Keyspace might be missing data.-org.apache.cassandra.dht.Range<Token>(name)range-java.lang.String(name)keyspace,o,o,o
Cassandra,380,org.apache.cassandra.dht.tokenallocator.TokenAllocation.allocateTokens,63,warn,java.lang.String(name)Selected tokens {}-java.util.Collection<Token>(name)tokens,o,o,o
Cassandra,384,org.apache.cassandra.dht.tokenallocator.TokenAllocatorFactory.createTokenAllocator,39,info,java.lang.String(name)Using NoReplicationTokenAllocator.,o,x,o
Cassandra,385,org.apache.cassandra.dht.tokenallocator.TokenAllocatorFactory.createTokenAllocator,42,info,java.lang.String(name)Using ReplicationAwareTokenAllocator.,o,x,o
Cassandra,479,org.apache.cassandra.gms.FailureDetector.interpret,302,debug,java.lang.String(name)PHI for {} : {}-java.net.InetAddress(name)ep-double(name)phi,o,x,x
Cassandra,481,org.apache.cassandra.gms.FailureDetector.interpret,307,trace,java.lang.String(name)mean for {} : {}-java.net.InetAddress(name)ep-double(name)hbWnd.mean(),o,x,x
Cassandra,388,org.apache.cassandra.gms.GossipDigestSynVerbHandler.doVerb,52,warn,java.lang.String(name)ClusterName mismatch from {} {}!={}-java.net.InetAddress(name)from-java.lang.String(name)gDigestMessage.clusterId-java.lang.String(name)DatabaseDescriptor.getClusterName(),x,o,o
Cassandra,389,org.apache.cassandra.gms.GossipDigestSynVerbHandler.doVerb,58,warn,java.lang.String(name)Partitioner mismatch from {} {}!={}-java.net.InetAddress(name)from-java.lang.String(name)gDigestMessage.partioner-java.lang.String(name)DatabaseDescriptor.getPartitionerName(),x,o,o
Cassandra,448,org.apache.cassandra.gms.Gossiper.addSavedEndpoint,1504,trace,java.lang.String(name)Adding saved endpoint {} {}-java.net.InetAddress(name)ep-int(name)epState.getHeartBeatState().getGeneration(),x,o,o
Cassandra,404,org.apache.cassandra.gms.Gossiper.advertiseRemoving,526,info,java.lang.String(name)Sleeping for {}ms to ensure {} does not change-int(name)StorageService.RING_DELAY-java.net.InetAddress(name)endpoint,x,o,o
Cassandra,403,org.apache.cassandra.gms.Gossiper.advertiseRemoving,525,info,java.lang.String(name)Removing host: {}-java.util.UUID(name)hostId,o,o,o
Cassandra,440,org.apache.cassandra.gms.Gossiper.applyStateLocally,1185,info,"java.lang.String(name)any30 ? ""There is at least one 3.0 node in the cluster - will store and announce compatible schema version"" : ""There are no 3.0 nodes in the cluster - will store and announce real schema version""",o,o,o
Cassandra,419,org.apache.cassandra.gms.Gossiper.getStateForVersionBiggerThan,886,trace,java.lang.String(name)local heartbeat version {} greater than {} for {}-int(name)localHbVersion-int(name)version-java.net.InetAddress(name)forEndpoint,o,o,x
Cassandra,431,org.apache.cassandra.gms.Gossiper.handleMajorStateChange,1047,info,java.lang.String(name)Node {} is now part of the cluster-java.net.InetAddress(name)ep,o,o,o
Cassandra,454,org.apache.cassandra.gms.Gossiper.maybeFinishShadowRound,1599,debug,"java.lang.String(name)All seeds are in a shadow round, clearing this node to exit its own",o,o,o
Cassandra,451,org.apache.cassandra.gms.Gossiper.maybeFinishShadowRound,1581,warn,"java.lang.String(name)Received an ack from {}, who isn't a seed. Ensure your seed list includes a live node. Exiting shadow round-java.net.InetAddress(name)respondent",o,o,x
Cassandra,424,org.apache.cassandra.gms.Gossiper.realMarkAlive,1010,debug,java.lang.String(name)removing expire time for endpoint : {}-java.net.InetAddress(name)addr,o,o,x
Cassandra,426,org.apache.cassandra.gms.Gossiper.realMarkAlive,1015,trace,java.lang.String(name)Notified {}-java.util.List<IEndpointStateChangeSubscriber>(name)subscribers,o,x,o
Cassandra,400,org.apache.cassandra.gms.Gossiper.removeEndpoint,426,debug,java.lang.String(name)removing endpoint {}-java.net.InetAddress(name)endpoint,o,o,x
Cassandra,401,org.apache.cassandra.gms.Gossiper.replacementQuarantine,457,debug,java.lang.String(name),x,x,x
Cassandra,396,org.apache.cassandra.gms.Gossiper.run,200,error,java.lang.String(name)Gossip error-java.lang.Exception(name)e,o,x,o
Cassandra,486,org.apache.cassandra.hadoop.ConfigHelper.getClientFromAddressList,551,error,java.lang.String(name)-java.io.IOException(name)ioe,x,x,x
Cassandra,501,org.apache.cassandra.hadoop.cql3.CqlInputFormat.call,342,trace,java.lang.String(name)adding {}-org.apache.cassandra.hadoop.ColumnFamilySplit(name)split,o,x,x
Cassandra,496,org.apache.cassandra.hadoop.cql3.CqlRecordReader.initialize,161,trace,java.lang.String(name)cqlQuery {}-java.lang.String(name)cqlQuery,o,x,x
Cassandra,497,org.apache.cassandra.hadoop.cql3.CqlRecordReader.initialize,164,trace,java.lang.String(name)created {}-org.apache.cassandra.hadoop.cql3.RowIterator(name)rowIterator,o,x,x
Cassandra,499,org.apache.cassandra.hadoop.cql3.CqlRecordWriter.closeSession,233,warn,java.lang.String(name)Error closing connection-java.lang.Throwable(name)t,o,x,o
Cassandra,488,org.apache.cassandra.hadoop.cql3.LimitedLocalNodeFirstLocalBalancingPolicy.LimitedLocalNodeFirstLocalBalancingPolicy,74,trace,java.lang.String(name)Created instance with the following replicas: {}-java.util.List(name)Arrays.asList(replicas),o,o,o
Cassandra,490,org.apache.cassandra.hadoop.cql3.LimitedLocalNodeFirstLocalBalancingPolicy.newQueryPlan,130,trace,java.lang.String(name)Using the following hosts order for the new query plan: {} | {}-java.util.List<Host>(name)local-java.util.List<Host>(name)remote,o,o,o
Cassandra,491,org.apache.cassandra.hadoop.cql3.LimitedLocalNodeFirstLocalBalancingPolicy.onAdd,141,trace,java.lang.String(name)Added a new host {}-com.datastax.driver.core.Host(name)host,o,o,o
Cassandra,493,org.apache.cassandra.hadoop.cql3.LimitedLocalNodeFirstLocalBalancingPolicy.onDown,160,trace,java.lang.String(name)The host {} is now down-com.datastax.driver.core.Host(name)host,o,o,o
Cassandra,492,org.apache.cassandra.hadoop.cql3.LimitedLocalNodeFirstLocalBalancingPolicy.onUp,151,trace,java.lang.String(name)The host {} is now up-com.datastax.driver.core.Host(name)host,o,o,o
Cassandra,512,org.apache.cassandra.hints.HintsDispatchExecutor.convert,305,info,java.lang.String(name)Finished converting hints file {}-java.lang.String(name)descriptor.fileName(),o,o,o
Cassandra,528,org.apache.cassandra.hints.HintsReader.readHint,251,warn,java.lang.String(name)Failed to read a hint for {}: {} - digest mismatch for hint at position {} in file {}-java.net.InetAddress(name)StorageService.instance.getEndpointForHostId(descriptor.hostId)-java.util.UUID(name)descriptor.hostId-long(name)input.getPosition() - size - 4-java.lang.String(name)descriptor.fileName(),o,o,o
Cassandra,514,org.apache.cassandra.hints.HintVerbHandler.doVerb,58,trace,java.lang.String(name)Failed to decode and apply a hint for {}: {} - table with id {} is unknown-java.net.InetAddress(name)address-java.util.UUID(name)hostId-java.util.UUID(name)message.payload.unknownTableID,o,o,o
Cassandra,515,org.apache.cassandra.hints.HintVerbHandler.doVerb,73,warn,java.lang.String(name)Failed to validate a hint for {}: {} - skipped-java.net.InetAddress(name)address-java.util.UUID(name)hostId,o,o,o
Cassandra,549,org.apache.cassandra.index.sasi.analyzer.filter.StemmerFactory.load,53,error,java.lang.String(name)Failed to get stemmer constructor-java.lang.Exception(name)e,o,o,o
Cassandra,548,org.apache.cassandra.index.sasi.analyzer.NonTokenizingAnalyzer.hasNext,96,error,"java.lang.String(name)""Failed to deserialize value with "" + validator-org.apache.cassandra.serializers.MarshalException(name)e",o,o,o
